,ALL   ,Abgr-t,Abgr-s,Acar  ,Acgld ,Acma-t,Acma-s,Acmi  ,Adbi  ,Agha  ,Agre,Agse,Agte,Aica,Alpr,Amal-t,Amal-s,Apan  ,Aqfo  ,Arel  ,Arme-t,Arme-s,Avfa,Beaq  ,Brco  ,Brla  ,Brpu  ,Brri,Brse,Brst  ,Brvu,CAR ,CORY  ,Caqu  ,Cato  ,Cear  ,Ceum  ,Cevu-s,Cipa  ,Civu  ,Coco-t,Coco-s,Cogr  ,Conu  ,Conu-s,Cost  ,Crca  ,Crdo-s,Crdo-t,Crox  ,Cyec  ,Cyfo  ,Cygr  ,Daca  ,Dacar ,Dagl  ,Deel,Diar  ,Doel  ,Drar  ,Elgl  ,Erla  ,Erog  ,Eucr  ,Feca  ,Fede,Feel,Feme  ,Feoc,Feru  ,Frbr  ,Frcu  ,Frla  ,Frla-s,Frvi  ,GAL   ,Gema  ,Geog  ,Gepu  ,Haob  ,Haun  ,Hehe-s,Heke  ,Hemi  ,Hodi  ,Hola  ,Hyoc  ,Hype  ,Hyra  ,Irte  ,JUNC,Kocr,LILI  ,LOT   ,Laco  ,Lapo  ,Lasa  ,Liap  ,Libu  ,Lico  ,Lide-t,Lide-s,Loci  ,Lope,Lotr  ,Lumu  ,MAL-t ,MAL-s ,Maex  ,Maor  ,Mebu,Mila  ,Mope  ,Mosi  ,Nepa  ,ONGR  ,Osce-s,Osce-t,Osnu  ,Phca  ,Phle  ,Phpr,Phvi  ,Pipo-t,Pipo-s,Plla  ,Poco,Pogl  ,Pogr  ,Pomu  ,Popr  ,Povu  ,Prav-t,Prav-s,Prde-t,Prde-s,Prvu  ,Psme-t,Psme-s,Ptan  ,Ptaq  ,Pyco-t,Pyco-s,Pyfu-t,Pyfu-s,Quga-t,Quga-s,Raoc  ,Rhdi  ,Rhpu-t,Rhpu-s,Risa  ,Rodu  ,Roeg  ,Rogy  ,Romi  ,Ronu  ,Ropi  ,Ruac  ,Rula  ,Rule  ,Rupa  ,Rupr  ,Ruur  ,Sacr  ,Sado  ,Sagr  ,Seja  ,Siho  ,Smra  ,Smse  ,Syal  ,TRIF  ,Taas,Taof  ,Tegr  ,Thoc  ,Toar  ,Trca,Trla  ,Trov  ,Trpr  ,V#1   ,VIOL  ,Valo  ,Viam  ,Viel  ,Vinu  ,Zice  
Stand27,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,1,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,9,0.5,0.200000003,45,75,0,0,0,3,0,0,0,0,0,0,0,135,0.5,0,7,0,0.200000003,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,21,0.5,0.5,0,0,0,0,0,45,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0
Stand28,0,0,0.200000003,0.5,0,3,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0.5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,80,0,0.200000003,0,2,0,0,0,0,0.200000003,0,9,0,0,0,0,141,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0.5,0,0,0,0,0,0,20,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Stand29,0,0.200000003,0,0,0,0,0.200000003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,7,0,0,0,0,0,0,0,0,46,0,0.200000003,0,0.5,0,0,0,13,6,0,0,0,0,0,0,158,0.200000003,0,11,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.200000003,0,16,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0
Stand30,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0.200000003,0,0,0,0,0,0.200000003,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,4,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0,262,0.5,0,22,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,39,0.5,0,0,0,0,0,0,65,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand31,0,0,0,0,0,4,13,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0,0.200000003,0,0,0,2,7,0,4,0,0,0,0,123,0,0,6,0,3,0,0,1,0.5,0,0.5,0.200000003,0,0,0,2,0,38,0,0.5,0,0,0,0,0,37,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0.200000003,0,0.200000003,0,0,0,0,2,0,0.5,0,0,0,0,261,0,0,22,0,2,0,0,0.200000003,0.200000003,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,60,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand33,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.200000003,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.200000003,0,0,0,0,0.200000003,0.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,14,0.200000003,0,0.200000003,0,0,0,0,0.5,0,0,0.5,0,0,0,166,19,0,59,0,0,0,0,20,2,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.200000003,2,0,0,0
Stand34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.200000003,0,2,0,0,0,0,0,0,0,0,0,0,0,175,0.5,0,8,0,2,0,0,0,0,0,4,0,0,0,0,0,0.200000003,0.200000003,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand35,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,10,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,4,0.5,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,148,0.5,0,44,0,0.200000003,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,0,55,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand36,0,0,0,0,0,0,0,0.5,0,0,0,0.5,8,0.5,0,0,0.5,0.200000003,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0,0,0,0.5,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,12,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.200000003,0,0.200000003,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0.200000003,0,22,0.200000003,0,0.200000003,0,0,0,0,0,0,0,0.200000003,0,0,0,100,9,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0.5,0,0,2,0,0,0,0,0,0,0,0.5,0,0,0
Stand37,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0,0,0.5,0.5,0,0,0,0.200000003,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,37,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,13,0.5,0.5,0,3,0,0,0,0,0,0,0,0.200000003,0,0,0,118,0.5,0,25,0,1,0,0,2,3,0,0.5,0,0,0,0,0,0,22,0,0.5,0,0,0,0,0,16,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
Stand38,0,0,0,0,0,6,10,0,0.5,0.200000003,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0,0.200000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,81,0.5,0.200000003,0,0.200000003,0,0,0,7,3,0,2,0,0,0,0,182,0.200000003,0,18,0.5,7,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0,13,0,0.5,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand39,0.5,0,0,0,0,0,0.200000003,0.200000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.200000003,0.200000003,2,0,0.200000003,0,0,0,0,0,0,2,10,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0.5,0.200000003,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,218,2,0,86,0,0.200000003,0,0,0.5,0,0,0,0,0,0,0,0,0,26,0.200000003,1,0,0.5,0,0,0,0.5,0,0,0.200000003,0.5,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0
Stand40,0,0,0,0,0,18,0.5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,58,0,0.200000003,0.5,2,0,0,0,0,0,0,0.200000003,0,0,0,0,205,0.5,0,9,0,0.200000003,0,0,0.200000003,0.200000003,0,0,0,0,0,0,9,0,0,0.200000003,0.5,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Stand41,0.5,0,0,0,0,0,0.200000003,0.5,0,0,0,0.200000003,2,0,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0.200000003,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0,0,0,0,19,0.200000003,0,0,0,0,0,0,0.5,0,0,0.200000003,0,0,0.5,148,6,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.200000003,0,0.5,0.200000003,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand42,0,0.5,0.5,0,0,3,14,0,0,0,0,0,0.200000003,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,1,0,0,0,0,0.5,0,0.200000003,3,5,0,0,0,9,10,0.200000003,0,0,0,0,0,155,0.5,0,35,0,0.200000003,0,0,0.5,0,0,0,0,0,0,0,0,0,55,0,0.5,0,0,0,0,0,11,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0
Stand43,0.5,0,0,0,0,3,3,0.5,0,0,0,0,0.5,0,0,0,0.200000003,0,0,0,0,0.200000003,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0,0,0.200000003,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0.200000003,0,0,0.5,0.5,0,0,0.200000003,0,0,0,0,0.5,0,0,0.5,5,0.5,0,0.5,0,0,0,0.200000003,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.200000003,0,0.5,0.200000003,0.5,0,0,0.200000003,0,6,0,0,0,0,0,0.5,0.5,0.5,0,0,3,0.5,0,0,138,1,0,22,0,0.200000003,0,0,6,0,0,0.5,0.5,0,0.200000003,0,0,1,0,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0,0,0
Stand44,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,7,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,0,0,0,0.200000003,0.5,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0.200000003,0.5,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0.200000003,123,1,0,31,0,6,0,0,2,2,0,2,0,0,4,0,0,11,57,0,2,0,0,0,0,0,29,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.200000003,0.5,0,0
Stand45,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.200000003,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0.5,187,1,0,16,0,0,0,0,6,0,0,3,0,0.200000003,0,0,0,0,0,0.5,0,0,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stand46,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0,0,5,0,0,0.5,0,0,0,1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0.200000003,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.200000003,0,0.200000003,0,0,0,0,0.5,0,0.5,2,0,0,0,253,1,0,29,0,0.5,0,0,5,1,0,3,0,0,0,0,0,1,9,0.5,1,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
Stand47,0,0,0,0,0,2,5,0,0,0,0,0,0.5,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0.5,0,3,0,0.200000003,3,55,0,0,0,10,0.5,0,0,0,0,0,0,160,0.5,0,26,0,0.5,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0
